Judul,Label
gus yaqut nkri kami takut papua maaf anggar ada perintah,1
atur baru instagram,1
beberapa jalan kota malang terap tilang elektronik,1
royalty 8 ribu rupiah wa,1
ketika hadap demo 2122 jakarta,1
innalillah leonardo dicaprio tewas riau fakta,1
diamdiam david beckham wamenapapua,1
madam listrik wilayah bekas hari sabtu minggu tgl 24 25 agustus 2019,1
biaya tilang baru indonesia,1
info jalur rawan begal himbauan tidak keluar malam kapolres cianjur,1
batu2 an karya seni gabion nyata terumbu karang yg lindung uu,1
dandenpom tangerang aman mobil plat dinas yg dipake anggota banser aku anggota tni akan apel pacar nya,1
pelintir premis garis lurus beijing kalimantan timur,1
orang anak sd lumajang lolos coba culi,1
malam jam 2400 bbm naik tanggal 30 agustus 2019,1
papua kini kibar bendera yahudi israel,1
laku culi anak tangkap warung ketan susu mayor,1
kejam rezim,1
si boss minta semua pesantren tutup,1
detik2 jatuh lion air jt610,1
terimakasih boyolali atas demo hari,1
pt pertamina rekrut pegawai baru adakan program beasiswa,1
bohong murtad strategi gereja publik,1
gubernur jatim khofifah indar parawansa masuk timses prabowo sandi,1
klarifikasi pertamina perihal lowong kerja rdmp ru v balikpapan,0
foto grace natalie hasil sunting,1
revolusi mental psi,1
timor leste mau gabung indonesia sekarang 2018,1
klarifikasi gigi kena band gigi for prabowo sandi,0
klarifikasi pt kai atas tuduh batal tiket rombong reuni 212,0
klarifikasi bpn prabowo sandi situs ktp prabowo,0
hak rakyat mau mau naik apa serah,1
jelas polresta surabaya ketua front mahasiswa nasional surabaya kait informasi 2 mahasiswa nonpapua hilang pasca gerebek,0
hutan klarifikasi temu lahan bibit ganja bogor,0
gambar logo pdip uji sd bogor,0
ini sesat akidah yg sungguh,1
pawai menang persija sepi berita media,1
tabrak setan,1
orang sakit kok nyapres,1
kondisi kini bahar bin smidh pindah rutan pondok bambu,1
baznas pasang spanduk tolak tempat raya natal gereja,1
salam jari kapal oleng kapten,1
samar kalian bongkar,1
pakai samar jadi lelaki gelar habib,1
penyiksaaan anak2 uyghur china komunis,1
keren sultan jogja tolak tol,1
malam tahun baru jadi gempa,1
sedekah money politik,1
video air pasang hingga darat ujunggenteng,1
foto jari bentuk simbol l kader psi sama rawan jokowi sebut mulai stres,1
bmkg alat deteksi tsunami selat sunda hilang sejak 2007,0
nyata prabowo datang ungsi daerah labu banten,1
lumpurpanas pinggir pintu tol glc,1
bahaya daging kurban bungkus kresek hitam,0
spp smasmk gratis jawa timur,0
klarifikasi bin kait pesan beranta sebut 29 tokoh dukung prabowosandiaga sedang monitor aparat,0
anggap leceh guru iklan hago protes,0
klarifikasi sosdrjohnsimpsonforindonesia,0
klarifikasi divisi humas polri kait informasi anak china ancam tembak jokowi bebas,0
klarifikasi milly ratudian purbasari kait akun facebook kara kania putri pakai foto,0
klarifikasi dinkes kait informasi ramu minyak tanah bisa obat sakit asam urat kolesterol tekan darah tinggi,0
permen jeli buat gelatin asal kulit tulang hewan,0
klarifikasi rektor uin suska riau kait surat pecat ustaz abdul somad dosen,0
klarifikasi putra aji adhari anak kelas ll mts bobol situs kpu milu 2019,0
unggah hasil c1 pleno tps bangil pasuruan beda hasil situng kpu,0
klarifikasi surat edar intruksi pasang spanduk ucap selamat pilih prabowosandi presiden wakil presiden,0
klarifikasi kait kabar tugas kpps way kanan lampung tewas tikam lerai ribut timses caleg,0
tuding tawar kerja retas situs kpu polri beri bantah,0
cokelat mermaid makan korban,0
foto prabowo titiek soeharto,0
klarifikasi kpu kait nyata ustaz haikal hassan kena 13 juta pilih gila,0
klarifikasi kait beda hasil situng kpu pindah bentuk microsoft excel,0
klarifikasi atas isu laku bom srilanka wni,0
video tugas kpps coblos kertas suara halmahera tengah edar,0
klarifikasi menteri bumn atas isu bri akuisisi jiwasraya,0
imigrasi kota semarang tangkap 40 wna laku jahat,0
komisioner kpu ilham saputra adik kandung yuga aden tim komunikasi badan menang nasional bpn,0
klarifikasi humas pemprov ntb kait kabar gurbenur zulkifliemansyah sebut ucap selamat prabowo sandi,0
video tugas kpps coblos surat suara boyolali,0
15 kotak suara dprd jambi bakar otk,0
kpu klarifikasi kait salah input data form c1 tps 093 bidara cina jakarta timur,0
redaksi liput 6 sctv pernah revisi quick count,0
klarifikasi sms nomor handphone ustadz abdul somad dukung paslon 01,0
5 panita awas desa aceh tamiang pecat pose jari,0
pose foto salam jari pakai rompi bawaslu,0
bawaslu bantah laku surat suara coblos malaysia tangkap,0
klarifikasi tvone kait foto ustadz abdul somad direksi karyawan tvone akun twitter saididu,0
klarifikasi pt schroder kait isu beri dana kampanye sandiaga uno,0
klarifikasi polisi kait isu larang kendara plat l w masuk malang,0
fakta sungguh kait video deklarasi keluarga ibu kandung prabowo minahasa dukung jokowi pilpres 2019,0
klarifikasi twitter tuduh tak netral milu 2019,0
surat suara sah ada tanda tangan kpps,0
klarifikasi gus mus kait video rekayasa diri tanggap nyata maruf amin,0
duga langgar milu acara singkawang bersholawat,0
jelas kait novel baswedan sebut jadi partisipan partai gerindra ketidaknetralan kpk pilpres 2019,0
klarifikasi atas isu ott bupati kapuas kpk,0
baliho cinesia timur sakti tulis bahasa cina bandara haluoleo kendari,0
kode qr taut hebatdikidotcom,0
pt kai beri klarifikasi kait ka argo parahyangan asap,0
jelas kpu gowa kait baliho surat suara tidak cantum foto caprescawapres prabowosandi,0
jelas haikal hassan kait cuit dukung jokowi sebut prabowo jumat malah minum bir,0
lipi keluar hasil survei caprescawapres,0
papan elektronik masjid unsri retas sholat no 1 presiden no 2,0
jelas kait video mobil berplat tni bawa logistik kampanye prabowosandi,0
jelas kait video truk kontainer gambar jokowimaruf amin,0
video soal tak lagi tahlil nu jadi fosil jokowimaruf kalah,0
klarifikasi bukalapak kait kabar retas situs,0
indochina foto kontainer southern hauliers,0
klarifikasi keluarga zulfirman syah korban tembak brutal masjid christchurch,0
mobil b 2 64ris tumpang prabowo subianto cianjur milik mantan pimpin isis regional indonesia,0
jelas iwan fals kait foto salam 2 jari poster dukung diri jokowi,0
bmkg kupang bantah kait informasi prakira badai ntt edar media sosial,0
polisi angkat bicara kait foto kompak tonton acung salam jari millenial road safety festival,0
polisi medan angkat bicara kait foto korban begal alami putus tangan,0
jelas kait unggah isi berita judul tanah patok rp3500 per meter warga demo bawa foto jokowi hoax ganti untung,0
klarifikasi lipi kait isu musnah buku tesis disertasi,0
dinas hubung beri jelas kait flyer tiket kapal gratis jembatan suramadu tutup,0
klarifikasi bpptkg kait video erupsi gunung rapi panik warga,0
klarifikasi kbri ppln singapura kait isu tki bayar 30 dollar guna hak pilih,0
jelas lengkap kait unggah gambar ridwan kamil yusuf mansur tgb soal duga kasus hukum timpa di media daring,0
klarifikasi kpk kait isu usul hapus lhkpn,0
gatot nurmantyo bantah isi pesan beranta catut nama,0
klarifikasi polres bogor kait buat sim tes rp 150 ribu acara millenial road safety festival,0
ridwan kamil bantah artikel ridwan kamil jawa barat akan data siapa yang dukung jokowi,0
tum pepes bantah emakemak tangkap karawang anggota,0
klarifikasi kait isu langka gas lpg 3 kg bangka belitung,0
berita kait tenaga kerja asing milik ektp cianjur,0
klarifikasi kemenag kait kabar pecat dosen hayati,0
caleg pdip minta maaf atas viral senam atas sajadah,0
klarifikasi tokopedia kait isu bocor data,0
jelas kait nyata prabowo soal impor air debat capres,0
kemenristek dikti bantah surat kait kembang hybrid,0
jelas kait informasi mobil stiker prabowosandi boleh masuk kebun raya bogor,0
pln bantah informasi tenggat bayar listrik maju tanggal 5 bulan,0
klarifikasi tani kulonprogo semprot mati lahan cabai,0
panen bawang limpah cipta krisis india,0
bangun jembatan gantung sikundo,0
klarifikasi ridwan kamil kait tuding main kaki,0
jelas kait ada simbol rupa tulis allah sepatu nike air max,0
jelas kait edar foto kartu emoney prabowosandi,0
klarifikasi bkn kait surat optimalisasi penuh butuh pns bkn,0
muncul pesan beranta jadi perang susul ambon vs lsm merah putih pihak polisi nyata kondisi lapang kondusif,0
jelas mosaik jalan depan balaikota surakarta solo sebut mirip salib,0
jelas lengkap duduk perkara kait video viral massa geruduk gereja sumatera utara,0
gelar aksi buang cabai jalan makan hoax cabai impor tani demak minta maaf,0
cek fakta pidato bangsa prabowo subianto,0
jelas elit garbi kait serta acara deklarasi garbi chapter bandung pakai kaos jokowimaruf amin,0
viral foto tebing uluwatu bal retak pihak kelola ikan klarifikasi,0
cnn indonesia bank dunia aku lapor infrastruktur jokowi final,0
kpk laku ott pontianak kalimantan barat,0
bmkg papua klarifikasi isu jadi tsunami papua,0
viking persib club bantah dukung pasang caprescawapres tentu,0
jelas bupati nduga kait foto anak sedang pegang bendera bintang kejora,0
klarifikasi tnipolri tuding laku sandera rombong tim evakuasi manusia pemda nduga,0
bmkg alat deteksi tsunami selat sunda hilang sejak 2007,0
menteri pupr beri klarifikasi kait jembatan layang rawa buaya kata retak,0
muncul isu jadi gempa palu 28 desember 2018 bmkg angkat bicara,0
lap klarifikasi soal dentum misterius bukan suara ujicoba roket,0
bmkg bunyi sirine ingat dini tsunami banten,0
klarifikasi taman safari indonesia kait harbonas sale tiket terus panda,0
klarifikasi polisi kait tuduh laku diskriminasi pemeriksanaan orang asli papua lapang terbangbandara kenyam,0
jelas kpu bpn prabowosandi informasi iklan kpu tidak cantum gelar akademisi prawbowosandi,0
jelas data fakta nyata djarot saiful hidayat banding kerja jokowi sby soal bangun sumut,0
klarifikasi polisi kait atur kendara motor stnk mati lama 2 tahun jadi bodong,0
klarifikasi perpusnas kait undang temu wicara isbn tahun 2018 12 13 desember jakarta,0
klarifikasi polri kpk kait kabar kabareskrim bongkar rekening gendut ketua kpk,0
gambar logo pdip uji sd bogor,0
hutan klarifikasi temu lahan bibit ganja bogor,0
jelas polresta surabaya ketua front mahasiswa nasional surabaya kait informasi 2 mahasiswa nonpapua hilang pasca gerebek,0
indosat kirim sms beranta guna lokasi reuni alumni 212,0
klarifikasi bpn prabowo sandi situs ktp prabowo,0
klarifikasi ponpes darul muwahiddin atas tolak datang maaruf amin,0
klarifikasi garuda indonesia soal pesawat kata gelincir bandara adisucipto,0
pihak polisi kalsel aman sebar hoaks bunuh levie prisilia,0
jelas kepala media center prabowo kait pidato prabowo sebut indonesia punya 1 profesor fisika,0
klarifikasi polri kait isu jenderal tito mek arab saudi,0
klarifikasi pt kai atas tuduh batal tiket rombong reuni 212,0
jelas bawaslu kpu kait kabar pasien idap ganggu jiwa nyoblos milu 2019,0
klarifikasi gigi kena band gigi for prabowo sandi,0
nyata pihak polisi kait acara ingat 4 tahun jemaah khilafatul muslimin akan ada masjid akbar mayor,0
klarifikasi rsud tara kait kabar tahan bayi pasien,0
klarifikasi pertamina perihal lowong kerja rdmp ru v balikpapan,0
klarifikasi gubernur dki jakarta kait wacana hapus koridor 1 transjakarta,0
bkn bantah umum informasi bijak baru passing grade cpns lulus tes skd,0
pihak polisi bantah info culi kakak adik sragen kota,0
kemenhub klarifikasi kait isu pilot indonesia banyak tidak lulus uji simulator airbus australia,0
klarifikasi bpn prabowosandi kait isu tunjuk hotman paris hutapea acara timses,0
polisi klarifikasi kait biaya tilang baru,0
sri mulyani beri klarifikasi kait sajak isi keluarga hilang lion air jt 610,0
kapten timnas u23 hansamu yama bantah diri jadi salah satu korban celaka pesawat lion air jt 610,0
klarifikasi dahnil anzar kait email skenario coklat1,0
nyata timses prabowosandiaga kait prabowobersamahti di twitter,0
kemenkeu klarifikasi soal sri mulyani pakai topi kalimat tauhid,0
klarifikasi komisi hukum mui kait isu lapor gp ansor banser polisi kait kasus bakar bendera,0
tanggap gubernur babel kepala dinas pupr babel taman pemprov mirip mata dajjal,0
klarifikasi gubernur anies kait diri payung presiden jokowi,0
klarifikasi pt gojek kait isu ada mutih massal akun eks mitra gojek,0
muncul isu culi anak wilayah cilodong depok pihak polisi beri klarifikasi,0
pihak bri kalrifikasi info kait blokir massal atm bri 30 oktober 2018,0
klarifikasi kemendagri kpu kait 31 juta data pilih sebut misterius tidak buka,0
klarifikasi ainun baharuddin kait meme tulis tusuk ka kalau amuk enak,0
nyata gp ansor kait banser nu garut bakar bendera tauhid tulis la ilaha illa allah muhammad rasulullah,0
klarifikasi bkn kait ada informasi kena perlu uji serta cpns lulus administrasi,0
klarifikasi bnpb kait kabar 2 warga belanda korban gempa palu,0
klarifikasi polres jembrana kait todong dekat spbu tuwed melaya,0
tri agama bantah sertifikat izin kelompok bimbing ibadah haji kbih,0
klarifikasi bmkg kait prediksi gempa magnitudo 82 tsunami beberapa daerah jateng,0
taman impi jaya ancol bantah gratis tiket masuk mulai 14 oktober hingga 6 bulan depan,0
klarifikasi kemenpora kait latih asi games 2018 belum terima bonus,0
polisi klarifikasi info kait laku uji tliang e cctv mulai hari,0
bmkg bantah informasi prediksi kemarau panjang kait tanya muncul dajjal,0
