Judul,Label
PSI Buat dan Pasang Spanduk yang Bertuliskan ‘Hargai Hak – Hak LGBT’,1
"“Salam dari Maher Zain""",1
“Polisi mulai intimidasi warga *InfoAkurat”,1
“paham politik gak sih pak?”,1
“Ini buktinya Prabowo bersama cucu PKI”,1
"“Stroke Kambuh, Prabowo Batal Orasi Politik di Acara Fraksi PKS”",1
“Diduga Dibangun Pakai Material Kw 3 dari China”,1
“KORAN INGGRIS”,1
Foto Spanduk “KAMI OPTIMIS PAK JOKOWI TAK AKAN BOHONG DAN INGKAR JANJI LAGI”,1
"Tangkapan Layar Artikel “Web KPU Diretas, Temuan Mengejutan!! Jokowi Angkat Isu PKI”",1
“Tidak ada hadiah sepeda buat mu nak”,1
Pelaku Pembakaran Beberapa Mobil di Daerah Jawa Tengah Sudah Tertangkap,1
“Pawai penyambutan Pak Prabowo di Bandung”,1
Pulau Batam Dianggap Sebagai Wilayah Luar Negeri.,1
Surat Panggilan Proses Penerimaan Kerja PT Pelni,1
PLN Bantah Informasi Tenggat Pembayaran Listrik Dimajukan Tanggal 5 Setiap Bulannya,0
Ali Mochtar Ngabalin Diserang Stroke Karena Doanya Sendiri,1
“Santriwati ponpes Al-Fattah Temboro dukung Prabowo – Sandi”,1
Nama Jokowi Masuk Daftar Klien Konsultan Asing Stanley Greenberg,1
"“Waspada, indikasi nyata PKI mulai bangkit”",1
“Terdapat obat bius di daun teh Tiek Kwan Im”,1
“whatsapp akan mengumpulkan dana setiap kali gambar dibagikan”,1
“SBY suruh coblos nomor 01 @Jokowi Amin”,1
Ma’ruf Amin Sebut Memilih Jokowi dengan Dirinya Sama Saja Sudah Mengantongi Tiket Surga,1
Anak Kecil Bersembunyi di Kolong Meja Saat Bertemu Presiden Joko Widodo,1
“Pemusnahan babi massal di Thailand”,1
Klarifikasi Terkait Isu Kelangkaan Gas LPG 3 Kg di Bangka Belitung,0
Ketum PEPES Bantah Emak-emak Ditangkap di Karawang Anggotanya,0
Akun Facebook Polwan Dukung Prabowo Sandi,1
Video Bunuh Diri yang Terjadi di Mayasari Plaza,1
"“TKA China Punya e-KTP, Mendagri : Jangan Protes!! Petahana Punya Hak Atas Segalanya”",1
“FB LITE LAGI DI HACK”,1
“sejak kapan KA ini menuliskan huruf/bahasa China?”,1
“mereka sdh melegalkan kemaksiatan”,1
Gatot Nurmantyo Bantah Isi Pesan Berantai Yang Mencatut Namanya,0
“Orang Jakarta pada canggih euy”,1
“Jika Rezim Komunis Berkuasa Apa daya MUSLIM”,1
Prabowo Usia 12 Tahun Kuliah di Amerika Serikat dengan Beasiswa,1
Turn Back Hoax Dibentuk Bukan Untuk Menangkal Hoax Melainkan Untuk Menaikkan Elektabilitas Jokowi,1
“Tenang pak Anies Baswedan kita masih punya medsos”,1
"“Pantesan Kampanye 70K0W1 Selalu Sepi, Uang Transport Massa Ditilep Tim Suksesnya Sendiri”",1
"Penjelasan terkait Unggahan yang Berisi Berita Berjudul “Tanahnya Dipatok Rp3.500 per Meter, Warga Demo Bawa Foto Jokowi “Hoax Ganti Untung”",0
 Saling Menyerang Menggunakan “Klaim Mirip”,1
Maklumat Masyayikh Ponpes Lirboyo Dukung Prabowo – Sandi,1
"Klarifikasi Keluarga Zulfirman Syah, Korban Penembakan Brutal di Masjid Christchurch",0
 Foto di Cuitan “Jumlah korban meninggal…” Oleh @pedjoeang_islam,1
Foto di cuitan “Saudari kita ini…” oleh @pedjoeang_islam,1
“Suasana sholat jenazah para korban teroris di new zealand”,1
“Indochina” di Foto Kontainer “Southern Hauliers”,0
"""Ternyata begini cara Presiden mengajarkan politik”",1
Perampokan Wanita Oleh Supir Taksi Online di Balikpapan,1
“BELUM WAKTUNYA SURAT SUARA PENCOBLOSAN SUDAH BERTEBARAN”,1
“Jokowi sdh berkunjung ke Christchurch”,1
Penjelasan terkait Video Mobil Berplat TNI yang Membawa Logistik Kampanye Prabowo-Sandi,1
"Papan Elektronik Masjid Unsri Diretas: ‘Sholat no 1, Presiden No 2’",0
“Prabowo mengeluarkan kalimat yang merendahkan kaum miskin di Indonesia”,1
LIPI Tidak Mengeluarkan Hasil Survei Capres-Cawapres,0
Pesawat-pesawat PAF menciptakan formasi yang indah dari nama Allah di langit”,1
“lengan kanan dekap lengan kiri”,1
oto di Post “Presiden Chechnya Dukung Prabowo Sandi”,1
Foto di Post “PRABOWO SANDI DINANTI DUNIA!”,1
Foto di Cuitan “Presiden yang tertukar…”,1
PT KAI Memberikan Klarifikasi Terkait KA Argo Parahyangan Berasap,0
Kode QR ke Tautan hebatdiki(dot)com,0
Habib Rizieq Syihab : Menlu Retno LP Marsudi mengimbau staf KBRI Riyadh dan KJRI Jeddah di Arab Saudi agar memenangkan capres Jokowi,1
“Peresmian Patung Yesus Memberkati oleh Jokowi”,1
"“Dimalaysia sdah pencoblosan, Pak Prabowo menang telak, tapi kotak surat suara terbakar di jalan saat mau di bawa”",1
“Hasil perhitungan sementara diluar negri luarbiasa”,1
Klarifikasi PT Schroder Terkait Isu Memberikan Dana Kampanye Untuk Sandiaga Uno,0
"Foto “Diluar yang gak bisa masuk, ribuan doang ini gak jutaan”",1
"“frustasi, gara-gara gak laku, kampanye sepi, akses jalan dihadang oleh mobil oknum dari salah satu paslon”",1
SMS Hadiah Lazada Birthday,1
5 Panita Pengawas Desa di Aceh Tamiang Dipecat karena Pose Dua Jari,0
PERGERAKAN MIRIP ’98’,1
“Data di Mabes TNI berdasarkan Formulir C1”,1
KPU dituduh melakukan “penggiringan opini yang luar biasa”,1
“Luhut Diusir Mahasiswa dan Diteriaki Prabowo”,1
“2014 Jokowi tidak di wakili suara rakyat menjadi presiden dengan kecurangan”,1
Kegiatan Sujud Syukur Kemenangan Prabowo – Sandi yang Diselenggarakan PA 212 Batal karena Ada Apel Siaga TNI – Polri di Monas,1
"Yudis, konsultan IT KPU yang mengendalikan Sistem Penghitungan (Situng) KPU adalah pendukung 02",1
“cukong China yang di juluki 9 Naga di belakang Timses 01”,1
Meme BJ Habibie Mengatakan “lawan berat Prabowo itu bukan Jokowi tp kecurangan”,1
“14 hacker cebong lenyap”,1
"Suntingan Video “Jalan-Jalan ke Mal, Jokowi Diteriaki Warga”",1
PESAN AJAKAN KONVOI RESMI AREMA ,1
Air Terjun Dari Langit ,1
"Madura kacau, ribuan warga Sampang, Madura kepung KPU tuntut kecurangan massa bentrok dengan Polisi ",1
Foto RA Kartini Berjilbab dan Berkaca mata. ,1
"Komisioner KPU, Ilham Saputra adalah adik kandung Yuga Aden, Tim Komunikasi Badan Pemenangan Nasional (BPN) ",0
Imigrasi Kota Semarang Tangkap 40 WNA Pelaku Kejahatan ,0
Klarifikasi Kementerian BUMN Atas Isu BRI Akuisisi Jiwasraya ,0
TV Luar Negeri Sudah Memberitakan Prabowo The Next Presiden ,1
“Video Petugas KPPS Coblosi Kertas Suara di Halmahera Tengah Beredar” ,0
Klarifikasi Atas Isu Pelaku Bom Srilanka Adalah WNI ,0
FPI Temukan 4 Ton Surat Suara Kosong yang Belum Dicoblos Tersimpan di Gudang Percetakan Tribun Timur ,1
Akan ada aksi sweeping dari ormas Forum Betawi Rempug (FBR) ,1
Klarifikasi Terkait Perbedaan Hasil Situng KPU Ketika Dipindahkan Dalam Bentuk Microsoft Excel ,0
Postingan Akun Facebook Neno Warisman Sebut Prabowo Rasul Allah SWT ,1
DATA RESMI TNI TUNJUKKAN KEMENANGAN PRABOWO PADA PILPRES 2019 ,1
Video Emak-Emak Labrak Gudang KPU Jombang Jatim ,1
Warga madura potong tangan pelaku kecurangan yang mencoblos 100 surat suara pemilu 2019 ,1
Foto Pdt.DR.Ir.Niko Njotorahardjo Mendukung Paslon Prabowo-Sandi ,1
PEMUNGUTAN SUARA ULANG DI BANJARSARI SOLO ,1
“hasil buntung dari tangan buntung” ,1
Babi Berbulu Domba Diciptakan Austria Untuk Mengecoh Umat Muslim ,1
"Pemerintah Tak Mampu, Dana Haji Menipis ",1
USUNAN KABINET KERJA JILID II JOKOWI MA’RUF ,1
Kaesang Pangarep (anak ketiga Jokowi) Komisaris Perusahaan Batu Bara yang lg ‘nyamar’ jadi penjual Pisang & Kopi ,1
Sekjen PBB Ucapkan Selamat pada Prabowo Atas Terpilihnya Menjadi Presiden RI ,1
Jalur Puncak Macet Parah Akibat Bencana ,1
Rekaman Suara Yang Mencatut Gatot Nurmantyo Terkait Pilpres 2019 ,1
“#AniesDimana asiik nih nies” ,1
“LADY GAGA MELANTUNKAN SURAT AD-DUHAA” ,1
Burhanuddin Muhtadi Dituding Dalang Quick Count Palsu ,1
Video “Cebong di Saudi Bisa Nyoblos Tanpa Identitas” ,1
"DITUDING TAWARKAN PEKERJAAN KE PERETAS SITUS KPU, POLRI BERI BANTAHAN ",0
Foto Wiwik Sri Rahayu asal Surabaya yang Divonis Hukuman Pancung di Arab Saudi ,1
"Akhirnya ada Anggota KPU yang insaf, mengaku di bayar 250 juta dan dijanjikan 12 M ",1
"3 Anak Meninggal Korban Cokelat “Mermaid” di RSUD Kapal Badung, Bali ",1
"Percakapan Yunarto Wijaya, Amankan Suara Pilpres ",1
Klarifikasi terkait Kabar Petugas KPPS di Way Kanan Lampung Tewas Ditikam karena Melerai Keributan Timses Caleg ,0
“Menag nya Saja Bilang mesti DIRANGKUL” ,1
“Kepala BPKH Sebut Uang BPKH Menipis” ,1
Klarifikasi Surat Edaran Intruksi Memasang Spanduk Ucapan Selamat Terpilihnya Prabowo-Sandi sebagai Presiden dan Wakil Presiden ,0
Risma Walikota Surabaya Marah Besar dengan KPU dan Bawaslu ,1
Unggahan Hasil C1 Pleno TPS di Bangil Pasuruan Berbeda dengan Hasil Situng KPU ,0
Gambar Rancangan Gedung Istana Negara di Palangkaraya ,1
Saksi Prabowo-Sandi di PPK Amalatu Mati Ditebas Lehernya Sampai Putus ,1
“CURANG KOK JANGAN DIVIRALKAN” ,1
“Viralkan Berulang – ulang karena Ini Masalah Nyawa” ,1
Ketua KPUD Bekasi Meninggal Dunia ,1
“Biar melek ahk yg mau bubarin fpi…” ,1
Permen Jeli yang Dibuat dengan Gelatin yang Berasal dari Kulit dan Tulang Hewan. ,0
"Klarifikasi dari Dinkes terkait Informasi Ramuan Minyak Tanah yang Bisa Mengobati Penyakit Asam Urat, Kolesterol, dan Tekanan Darah Tinggi ",0
“Coba itu….dibayar brapa emak emak ini brani berbuat spt itu…urusan capres gak inget sama hijab” ,1
“atas nama: DHEVA SUPRAYOGA” ,1
“Dimatiin Buat Nutupin Fakta” ,1
“semua anggota Bawaslu dan KPU hanya plonga plongo” ,1
Video Polisi Tembak Saksi Saat Rekap Pleno KPU ,1
Klarifikasi Divisi Humas Polri terkait informasi “anak China ancam tembak Jokowi dibebaskan” ,0
Isu Bom Di Pintu Masuk Mall Panakukang ,1
“Bangunkan saudara2mu #RakyatTahuKalianCurang” ,1
"“jelaslah, siapa mereka” ",1
"Video dan Foto Korban Tawuran di Jembatan Siak IV, Pekanbaru ",1
"Dianggap Lecehkan Guru, Iklan Hago Diprotes ",0
Ketiga Anak Kapolri Tiggal Di Singapur Dan Hidup Bermewah-mewahan ,1
Foto Pose Panglima TNI & Kapolri Bersama Koalisi 01 ,1
Meninggalnya Serda Supran Sida Dikaitkan dengan Virus Cacar Monyet ,1
Ribuan warga Baduy sudah bergerak menuju Ibukota ,1
AM HendroPriyono Meninggal Di Singapura ,1
"Tanggal 22 mei pendukung 02 Kepung KPU, Wiranto: Biarkan Saja, Untuk Bahan Berburu Menembak TNI-POLRI ",1
Tol Jakarta – Cikampek Ambruk ,1
Informasi yang Berisi Adanya Rombongan Gangster Sudah Ada di Samarinda dan Membunuh 60 Orang ,1
“Di shoot tv one cuma bisa bhs cina” ,1
Kapolri : Masyarakat boleh di tembak ,1
Terciduk! Diduga Oknum BAIS TNI PROVOKASI Massa di Aksi 22 Mei dan Menyudutkan POLRI ,1
Habib rotan sudah sampai dijakarta bersama UAS langsung menuju Kartanegara ,1
Jokowi di Mata Internasional dijuluki “Tangan Berdarah” ,1
Kondisi masjid yang diserang polisi dan brimob saat ini ,1
Brimob Menyamar Jadi Prajurit TNI AL ,1
Otto Hasibuan Kuasa Hukum Prabowo Sandi ,1
Ayah Farhan Gelar Tumpengan karena Bangga Anaknya Mati Syahid Bela Prabowo ,1
“Dahnil Ajak Pendukung Prabowo Mudik Lebaran Gunakan Kuda” ,1
"Prabowo Sebut Kadang Harus Mundur Tapi Bukan Menyerah, kita Berjuang Lagi 2024 ",1
Bos Mayapada Jadi Pembina Brimob dan TNI ,1
Pelintiran Konteks Buku “People Power” ,1
“Masak Saya Dibilang ‘Ikan Buntal'” ,1
“Pertemuan Referendum Raja dan Sultan Senusantara” ,1
Yogyakarta akan referendum ,1
KTP sang Pelaku Bom Bunuh Diri di Tugu Kartasura a.n Nur Rohman ,1
Kivlan Zein dan Soenarko Bebas Hari Ini ,1
Di Austria Lahar Panas keluar dari Perut Bumi ,1
HASIL PENYADAPAN MABES POLRI tentang RENCANA DENSUS 88 UTK MELAKUKAN PENANGKAPAN PERWIRA TNI AKTIF ,1
Video Merry Riana Sebut Indonesia Akan Bubar ,1
Di bandara terminal 3 sukarno hata sudah terpasang kilat Cina air line selamat datang Cina di Indonesia ,1
Polwan kiriman tiap malam datang dari soeta ,1
"“Walau bulan puasa, sebagai musafir @prabowo boleh menikmati kopi” ",1
Wiranto Minta Pihak yang Lebih Mencintai Kalimat Tauhid Segera Angkat Kaki dari Indonesia ,1
Voucher Gratis Go-pay Rp500 Ribu di LINE ,1
SPP SMA/SMK GRATIS JAWA TIMUR ,0
Portal m-detiknews ,1
“Geger Binatang di Kebun Binatang Indonesia Kurus” ,1
KAKI TANGAN REZIM ZALIM SUDAH MULAI MENGHALANGI AGAR BW TIDAK BISA MASUK KE GEDUNG MK UNTUK IKUT SIDANG ,1
Pelajar Bulukumba yang Terjerat Kasus Video Asusila Tewas Bunuh Diri ,1
Tarif Dasar Listrik Naik Lagi Awal Juli 2019 ,1
Kas Negara Kosong ,1
Prof. Tokuda terseyum ketika memperlihatkan data kecurangan KPU ,1
“Kejahatan Hindu India Modi terhadap seorang wanita Muslim yang membawa daging” ,1
“Sidoarjo : Mayat baru dimasukan di liang lahat terbakar” ,1
Profesor Gabe Bin Abdulah yang berasal dari Amerika latin ini kagum kepada pendukung Prabowo ,1
PENEMUAN JENAZAH DALAM MOBIL DI WILAYAH PURWOKERTO ,1
SURAT PEMBERITAHUAN VALIDASI NOMOR INDUK CPNS ,1
Hewan Yang Ditemukan Di Kuburan Ini Punya Suara Jeritan Mengerikan ,1
Menkes Jalani Terapi DSA di RSPAD Gatot Soebroto ,1
Presiden Uni Afrika Al A’id E’in Al Wadiyah bin Haffaz Al Wadiyah Berpidato di Depan para Delegasi Dunia di PBB Meminta agar Seluruh Negara Menolak Jokowi sebagai Presiden Indonesia ,1
"“Tiba di Den Haag, Prabowo ajukan gugatan ke Mahkamah Internasional MMA-UFC” ",1
IMPORT KITA SAMPAI KE KONDOM BEKAS ,1
Jokowi pidato hanya satu menit jadi tertawaan orang Jepang ,1
“Jika melawan diancam proses hukum berjalan” ,1
Ribuan Warga China Berdatangan Ke Indonesia Lewat Bandara Kota Pekanbaru ,1
"Merdeka.com Membuat dan Menayangkan Berita “Ada Wanita Membawa Anjing Masuk Masjid, Polisi Sebut Pelaku Alami Gangguan Jiwa, Jangan Dibesar-besarkan!!”",1
“Gambar karikatur di media prancis” ,1
“CNN internasional bilang” ,1
“awalnya cheetah mengincar kedua anaknya” ,1
TEPUK LENGAN UNTUK PERTOLONGAN PERTAMA PADA SERANGAN JANTUNG ,1
Lowongan 25 Orang Driver Pengantar Jemaah Haji di Arab Saudi ,1
“TERB0NGKAR KENAPA C1.N@ P.K! INGIN BELI SEMUA TANAH STRATEGI DIINDONESIA” ,1
Indomaret Memberikan 5000 Voucher Gratis Senilai 2 Juta Rupiah Untuk Merayakan Ultah Ke-30 ,1
"Setelah wacanakan Menghapus pelajaran agama disekolah, kini terang-terangan melarang busana muslim di sekolah ",1
“Salah Satu Pulau di Palu Telah di Jual ke negara China” ,1
Suhu panas Kuwait melelehkan mobil dan lampu lalulintas ,1
“Foto para perempuan Indonesia berhijab sekitar tahun 1700” ,1
Kemendagri Telah Menolak Perpanjangan Izin FPI ,1
Krupuk Babi Ber Label Halal ,1
“Lolongan Histeris Siksa KUBUR Alexander” ,1
Penerapan Ganjil Genap Motor Pada 18-31 Juli ,1
“DUKA PERTAMA UMAT ISLAM PASCA PILPRES 2019” ,1
Hari ini Goobernur Anis menunjukkan bukti otentik ke panitera Mahkamah Internasional ,1
“Kementerian agama diganti namanya menjadi kementerian Urusan Haji Zakat dan Wakaf” ,1
Truk TNI Angkut Warga China Ke Bandung ,1
“Negara ente digadai ke China KOMUNIS” ,1
Peringatan Hari Anak Nasional Se Jabar di Polda Jabar ,1
Pertemuan Jokowi dan Prabowo adalah Setingan ,1
Deddy Dhukun Meninggal ,1
Nanas Madu Dapat Merusak Ginjal ,1
Beredar Risalah Rapat Pengangkatan Nama – nama Menteri Kabinet Kerja Jilid II dengan Lambang Garuda dan Bertuliskan Koalisi Indonesia Maju ,1
Seorang Suporter Meninggal Pada Laga Tira-Persikabo VS Persija ,1
Ma’ruf Amin Sebut Masyarakat yang Tak Mengakui Jokowi sebagai Pemimpin 5 Tahun Kedepan akan Masuk Neraka sampai 7 Turunan ,1
"Kisah Nyata Arif, Anak Berusia 8 Tahun, Narapidana Cerdas Yang Membunuh Preman dan Kabur dari Lapas Sebanyak Tiga Kali ",1
JAMUR VS TERUNG ,1
“PERCETAKAN ALQURAN DIHENTIKAN” ,1
Foto 200 relawan yang dibebaskan Prabowo dari penjara ,1
“Khoirul Anwar Penemu 4G LTE” ,1
MASJID INI TERBAKAR BARU TADI ,1
Pendeta di Brazil: “wanita gemuk tidak bisa masuk sorga” ,1
"“’RUSIA’ saja sampai meminta ilmu strategi perang kepada saya, kenapa orang ‘INDONESIA’ malah meragukan saya” ",1
“baju PKI lagi beraksi” ,1
Asosiasi Guru Bahasa dan Sastra Indonesia Kecam Anies Baswedan ,1
"Ahok beli tanaman plastik 8 M dipake sebentar, Ganjar nyanyi bareng slank 18 M cuma sehari ",1
"“Mendagri tidak memberi ijin cuti kepada walikota Sumbar untuk menunaikan ibadah haji, rezim setan..” ",1
Racun Dari Nasi di Magic Com ,1
"Artikel Liputan6.com : “Rhoma Irama: “Saya Yang Salah, Dulu Saya Bilang Jangan Sentuh Miras Walau Setetes.. Dia Malah Nyabu” ",1
"“Said Aqil: Negara China Bukan Negara Komunis, Yang Komunis Itu Justru Arab?” ",1
"“Megawati : Jokowi Itu Idaman Seluruh Alam, Bahkan “ALIEN” Saja Mau Di Pimpin Oleh Beliau.” ",1
"“SAID AQIL: Jangan Bilang Siapa-Siapa ya. Fieling Saya,Pak Jokowi Itu “IMAM MAHDI” Yang Muncul di Akhir Zaman Nanti” ",1
Bandara Soekarno Hatta Akan Dijual Kepada Hongkong ,1
“Hancur kota ya sengsara warga ya” ,1
Bahaya Daging Kurban Dibungkus Kresek Hitam ,0
Video Penyerangan terhadap Anggota TNI di Papua ,1
“Penderita Gila akibat Pilpres meningkat tajam di sumbar” ,1
“hacker sudah mulai masuk facebook dan bbm” ,1
UNESCO Nyatakan ISLAM Agama Paling Damai Sedunia ,1
Foto ormas FPI membantu bencana erupsi Gunung Tangkuban Perahu ,1
“Politisi PDIP : Negara Akan Hancur Bila Jokowi Tidak Segera Mundur” ,1
Lowongan Pekerjaan PT Timah Persero Tbk 2019 ,1
“DKI Jakarta berhasil swasembada Eceng Gondok” ,1
“Moeldoko: Pendukung Prabowo yg tidak mau mengakui kemengan Jokowi harus di tangkap” ,1
Seorang Perempuan Rela Digilir Demi Lunasi Hutang Pada Fintech ,1
“Ini beneran ikan duyung” ,1
Demo di Hongkong karena menolak campur tangan fihak Negara China Komunis ,1
"Jembatan di Jalan Cemara, Medan Dikatakan Roboh ",1
Di Rusia islam menggema oleh para tentara kalamullah di lantunkan ,1
"Di Kazan, Rusia, pemain Sepak Bola dan supporternya Sholat Isya secara berjamaah ",1
Surat Undangan Bimbingan Teknis untuk Pelaku Usaha dari BPOM ,1
Bandung Electronic Center (BEC) runtuh ,1
Air Surut 15 Meter di Pelabuhan Banten ,1
Video Monas Berayun Saat Gempa Guncang Jakarta ,1
Fenomena aneh dari langit saat gempa gencang banten ,1
Video Jagal Sapi Meninggal Ditendang Sapi Qurban ,1
BUNGA MAHAMERU/ARYA YANG MEKAR 400 TAHUN SEKALI ,1
Habib Bahar Smith di gebukin napi didalam sel ,1
"Dijebol Siber Rp 9 Triliun, Bank Mandiri Segera Bangkrut? ",1
Daftar Menu Pesta Kuliner Gratis di Surabaya dan Semarang ,1
“zionis Israel menebar VIRUS AIDS di pembalut wanita” ,1
“Metallica Indonesia Raya” ,1
Draf Revisi UU Ketenagakerjaan Hapus Cuti Haid ,1
"“Gus Yaqut: Kami NKRI dan kami tidak takut ke Papua. Tapi maaf, anggaran tidak ada dari pemerintah” ",1
Aturan Baru Instagram ,1
Beberapa Jalan di Kota Malang Sudah Terapkan Tilang Elektronik ,1
“royalty 8 ribu rupiah setiap WA” ,1
“seperti ketika menghadapi pendemo 21-22 di Jakarta” ,1
"Innalillah! Leonardo Dicaprio Tewas di Riau, Ini Faktanya ",1
Diam-Diam David Beckham Ke Wamena-Papua ,1
"Pemadaman listrik wilayah bekasi hari Sabtu dan Minggu, Tgl 24 & 25 Agustus 2019 ",1
Biaya Tilang Baru di Indonesia ,1
Info Jalur Rawan Begal dan Himbauan Untuk Tidak Keluar Malam Oleh Kapolres Cianjur ,1
Batu2 an karya seni Gabion ternyata dari terumbu karang yg dilindungi UU ,1
Dandenpom Tangerang mengamankan mobil plat dinas yg dipake anggota banser yang mengaku anggota TNI yang akan apel ke pacar nya ,1
Pelintiran Premis “Garis Lurus Beijing – Kalimantan Timur” ,1
Seorang Anak SD di Lumajang Lolos Dari Percobaan Penculikan ,1
Malam ini jam 24:00 BBM naik Tanggal 30 Agustus 2019 ,1
“Papua kini kibarkan bendera Yahudi Israel” ,1
PELAKU PENCULIKAN ANAK TERTANGKAP DI WARUNG KETAN SUSU KEMAYORAN,1
“Begitu kejamnya Rezim ini”,1
“SI BOSS MINTA SEMUA PESANTREN DI TUTUP”,1
"“detik2 jatuhnya lion air jt610""",1
“Terimakasih boyolali atas demo hari ini”,1
PT Pertamina Rekrut Pegawai Baru dan Adakan Program Beasiswa,1
“PEMBOHONGAN PEMURTADAN Strategi Gereja untuk publik”,1
"Gubernur Jatim, Khofifah Indar Parawansa Masuk Timses Prabowo – Sandi",1
Klarifikasi Pertamina Perihal Lowongan Kerja RDMP RU V di Balikpapan,0
Foto Grace Natalie Hasil Suntingan,1
“*REVOLUSI MENTAL PSI..*”,1
Timor Leste Mau Kembali Bergabung Dengan Indonesia Sekarang (2018),1
Klarifikasi GIGI Mengenai “Band Gigi for Prabowo Sandi”,0
Klarifikasi PT KAI Atas Tuduhan Membatalkan Tiket Rombongan Reuni 212,0
Klarifikasi BPN Prabowo – Sandi tentang Situs ‘KTP Prabowo’,0
“Hak Rakyat Mau kemana mau naik apa itu terserah kami”,1
Penjelasan Polresta Surabaya dan Ketua Front Mahasiswa Nasional (FMN) Surabaya Terkait Informasi 2 Mahasiswa Non-Papua yang Hilang Pasca Penggerebekan,0
Perhutani Mengklarifikasi Penemuan Lahan Pembibitan Ganja di Bogor,0
Gambar Logo PDIP pada Ujian SD di Bogor,0
“inilah penyesatan akidah yg sesungguhnya”,1
“PAWAI KEMENANGAN PERSIJA SEPI DARI PEMBERITAAN MEDIA”,1
“Tabrakan dengan Setan”,1
“Orang penyakitan kok Nyapres”,1
“Kondisi terkini Bahar Bin Smidh dipindahkan ke Rutan Pondok Bambu”,1
Baznas Pasang Spanduk Menolak Tempat Perayaan Natal Selain Gereja,1
“salam dua jari Kapal sudah oleng kapten”,1
“Penyamaran Kalian Terbongkar Sudah”,1
“pakai menyamar jadi lelaki gelar habib”,1
“Penyiksaaan anak2 uyghur oleh china komunis”,1
“Keren Sultan Jogja Tolak Tol”,1
“Malam Tahun Baru akan terjadi GEMPA”,1
“Sedekah atau Money Politik?”,1
Video Air Pasang Hingga ke Daratan di Ujunggenteng,1
"Foto Jari Membentuk Simbol “L” dari Kader PSI Bersama Relawan Jokowi, Disebut Mulai Stres",1
“BMKG: Alat Pendeteksi Tsunami di Selat Sunda Hilang Sejak 2007”,0
“Ternyata Prabowo datang ke pengungsian daerah labuan Banten”,1
“#Lumpur_Panas dipinggir pintu tol GLC”,1
 Bahaya Daging Kurban Dibungkus Kresek Hitam,0
 SPP SMA/SMK GRATIS JAWA TIMUR,0
 Klarifikasi BIN terkait Pesan Berantai yang Sebut 29 Tokoh Pendukung Prabowo-Sandiaga sedang Dimonitori oleh Aparat,0
" Dianggap Lecehkan Guru, Iklan Hago Diprotes",0
 Klarifikasi “#SOSDrJohnSimpsonForIndonesia”,0
 Klarifikasi Divisi Humas Polri terkait informasi “anak China ancam tembak Jokowi dibebaskan”,0
 Klarifikasi Milly Ratudian Purbasari terkait akun facebook Kinara Kania Putri yang memakai fotonya,0
